Product Name,Long Description,Short Description,Supplier Source,Price,Currency,Stock,Category
Nestle Omega Plus with Oats (10 x 42g),"Welcome to  where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today!<br>","Welcome to  where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today!",https://shopee.com.my/Nestle-Omega-Plus-with-Oats-(10-x-42g)-i.120723581.1994043128?sp_atk=ca6d8a46-c3b1-4c9c-8f53-089e9b3e8891&xptdk=ca6d8a46-c3b1-4c9c-8f53-089e9b3e8891,19.9,MYR,5,Groceries
Breeze Fragrance of Comfort Powder Detergent 3.3kg,"Breeze with Fragrance of Comfort **, specially formulated to remove tough stains with 3X power* while leaving your clothes smelling great with a long lasting fragrance.<br><br><br>Remove tough stains with 3x power*<br>No soaking, brushing & bleaching required<br>Remove stubborn stains on collar and cuffs<br>Gentle on Hands<br>With Long Lasting Perfume**<br>Leave your clothes smelling great with a long lasting fragrance","Breeze with Fragrance of Comfort **, specially formulated to remove tough stains with 3X power* while leaving your clothes smelling great with a long lasting fragrance.


Remove tough stains with 3x power*
No soaking, brushing & bleaching required
Remove stubborn stains on collar and cuffs
Gentle on Hands
With Long Lasting Perfume**
Leave your clothes smelling great with a long lasting fragrance",https://shopee.com.my/Breeze-Fragrance-of-Comfort-Powder-Detergent-3.3kg-i.120723581.2014512922?sp_atk=b088110b-2268-4300-93a7-ae4188db778a&xptdk=b088110b-2268-4300-93a7-ae4188db778a,24.9,MYR,36,Groceries
Ah Huat White Coffee Classic 15 x 30g,"The classic blend of aromatic white coffee that can never go wrong. A definite choice for all you coffee lovers.<br><br>Ah Huat is a Malaysian who was born in 1952, in the year of the Dragon whose ancestors migrated from Anxi County from the Hokkien province of China. Eventually in Malaysia, Ah Huat inherited his fatherkopitiam and mastered the art of coffee making under the tutelage of his dad. His simple, earnest and passionate attitude towards coffee has touched the caffeine loving hearts of all his customers.","The classic blend of aromatic white coffee that can never go wrong. A definite choice for all you coffee lovers.

Ah Huat is a Malaysian who was born in 1952, in the year of the Dragon whose ancestors migrated from Anxi County from the Hokkien province of China. Eventually in Malaysia, Ah Huat inherited his fatherkopitiam and mastered the art of coffee making under the tutelage of his dad. His simple, earnest and passionate attitude towards coffee has touched the caffeine loving hearts of all his customers.",https://shopee.com.my/Ah-Huat-White-Coffee-Classic-15-x-30g-i.120723581.2078846538?sp_atk=3ccd8d96-6680-4602-9dcd-024bccd35523&xptdk=3ccd8d96-6680-4602-9dcd-024bccd35523,16.59,MYR,1,Groceries
Breeze Liquid Luxury Perfume (3.6kg),"Breeze Colour Care Refill Concentrated Liquid Detergent (1.8 KG)<br><br>Breeze Luxury Perfume comes from the finest French flowers. Specially formulated with 3x Tough Stains Removal Power*, while leaving your clothes smelling luxurious with long lasting fragrance.<br><br>Remove Tough Stains in 1 Step*, Keeps Colours Bright After 30 Washes**, Colour Guard Technology**, Washing Machine & Handwash<br><br>5 Benefits in 1 Liquid Detergent<br><br>Penetrates into the fabric & leaves no residue<br><br>Cleans in minutes<br><br>Fresh fragrance<br><br>Keeps colours bright<br><br>Gentle on hands<br><br>Removes Tough Stains Easily<br><br>Curry, Grass, Cooking Oil, Lipstick, Cosmetics","Breeze Colour Care Refill Concentrated Liquid Detergent (1.8 KG)

Breeze Luxury Perfume comes from the finest French flowers. Specially formulated with 3x Tough Stains Removal Power*, while leaving your clothes smelling luxurious with long lasting fragrance.

Remove Tough Stains in 1 Step*, Keeps Colours Bright After 30 Washes**, Colour Guard Technology**, Washing Machine & Handwash

5 Benefits in 1 Liquid Detergent

Penetrates into the fabric & leaves no residue

Cleans in minutes

Fresh fragrance

Keeps colours bright

Gentle on hands

Removes Tough Stains Easily

Curry, Grass, Cooking Oil, Lipstick, Cosmetics",https://shopee.com.my/Breeze-Liquid-Luxury-Perfume-(3.6kg)-i.120723581.2090983865?sp_atk=e5693b5b-a398-4e0a-93ac-b040c631d7de&xptdk=e5693b5b-a398-4e0a-93ac-b040c631d7de,24.48,MYR,44,Groceries
Breeze Powder Detergent Power Clean 2.3kg,"Breeze Powder Detergent Power Clean 2.3kg<br><br>Breeze Power Clean with Radiant White Technology**, specially formulated to remove tough stains with 3X power* while keeping your clothes dazzling white. Remove tough stains with 3x power* No soaking, brushing & bleaching required Remove stubborn stains on collar and cuffs Gentle on hands With Radiant White Technology<br><br>Breeze Power Clean is very effective in removing stains. Save your time and energy with Breeze Power Clean.<br><br>5 total signs of complete care for coloured clothes. <br>1. Clean and stain free<br><br>2. Shiny bright colours<br><br>3. Fresh and clean smell<br><br>4.Clean like new<br><br>5. Helps keep colour from fading","Breeze Powder Detergent Power Clean 2.3kg

Breeze Power Clean with Radiant White Technology**, specially formulated to remove tough stains with 3X power* while keeping your clothes dazzling white. Remove tough stains with 3x power* No soaking, brushing & bleaching required Remove stubborn stains on collar and cuffs Gentle on hands With Radiant White Technology

Breeze Power Clean is very effective in removing stains. Save your time and energy with Breeze Power Clean.

5 total signs of complete care for coloured clothes. 
1. Clean and stain free

2. Shiny bright colours

3. Fresh and clean smell

4.Clean like new

5. Helps keep colour from fading",https://shopee.com.my/Breeze-Powder-Detergent-Power-Clean-2.3kg-i.120723581.3945898073?sp_atk=d71ba8ff-b862-4788-9ad7-872d470d71c4&xptdk=d71ba8ff-b862-4788-9ad7-872d470d71c4,14.9,MYR,26,Groceries
Mr Muscle Citrus Fresh Discs Starter 38g,"Features<br>Up to 6 weeks of freshness, Fight stains and long lasting fragrance!, Without your hands touching the toilet bowl!<br><br>Product Marketing<br>Fights stains that harbor germs*<br>*Helps prevents stains that harbor germs. Mr. Muscle® Fresh Discs formula leaves a flush activated protective shield all around the bowl that helps repel limescale.<br><br>Mr. Muscle® Fresh Discs keeps your toilet bowl clean with long lasting fragrance.<br><br>Large Button<br>Gel Dispenser<br>Blue Handle<br>Cap<br><br>Manufacturer Marketing<br>SC Johnson<br>A family company since 1886.<br>Fisk Johnson<br><br>Citrus Fresh Discs Starter","Features
Up to 6 weeks of freshness, Fight stains and long lasting fragrance!, Without your hands touching the toilet bowl!

Product Marketing
Fights stains that harbor germs*
*Helps prevents stains that harbor germs. Mr. Muscle® Fresh Discs formula leaves a flush activated protective shield all around the bowl that helps repel limescale.

Mr. Muscle® Fresh Discs keeps your toilet bowl clean with long lasting fragrance.

Large Button
Gel Dispenser
Blue Handle
Cap

Manufacturer Marketing
SC Johnson
A family company since 1886.
Fisk Johnson

Citrus Fresh Discs Starter",https://shopee.com.my/Mr-Muscle-Citrus-Fresh-Discs-Starter-38g-i.120723581.5270723535?sp_atk=eb97d7d7-6c84-4be8-9a52-cf0f3110770c&xptdk=eb97d7d7-6c84-4be8-9a52-cf0f3110770c,9.09,MYR,28,Groceries
Ajax Fabuloso 2L Purple,"Welcome to where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today!<br>","Welcome to where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today!",https://shopee.com.my/Ajax-Fabuloso-2L-Purple-i.120723581.2283759278?sp_atk=9fbd8ffc-bc8a-4d42-b6c0-ec576e62057e&xptdk=9fbd8ffc-bc8a-4d42-b6c0-ec576e62057e,11.99,MYR,2,Groceries
Royal Gold Looney Tunes Facial Tissue 3 Ply 100 Sheets x 4 Packs,"Royal Gold Looney Tunes Facial Tissue 3 Ply 100 Sheets x 4 Packs<br><br>- 100 sheets per packet<br>- Made from 100% Virgin Pulp<br>- Softness, Thicker & Stronger.<br>- 3 ply<br>- Suitable in the Car, Travel, Outdoor, Restaurant.","Royal Gold Looney Tunes Facial Tissue 3 Ply 100 Sheets x 4 Packs

- 100 sheets per packet
- Made from 100% Virgin Pulp
- Softness, Thicker & Stronger.
- 3 ply
- Suitable in the Car, Travel, Outdoor, Restaurant.",https://shopee.com.my/Royal-Gold-Looney-Tunes-Facial-Tissue-3-Ply-100-Sheets-x-4-Packs-i.120723581.5645856375?sp_atk=3db0f946-bc91-42a5-829a-9ec6640b2870&xptdk=3db0f946-bc91-42a5-829a-9ec6640b2870,11.49,MYR,11,Groceries
FamilyGuard Disinfectant Aerosol Fresh Floral 280ml,"Product Details<br>FamilyGuard Disinfectant Aerosol is a versatile product that kills 99.9% of viruses and bacteria and combats odors of several different surfaces, through a fresh scent, so you can touch, feel and explore the world each day without worries. FamilyGuard Disinfectant Aerosol can be used across various surfaces such as shoes, clothes, sofas, trash cans, closets, car interiors, kitchen areas, and other closed environments.<br><br>Directions<br>""•Shake well before each use •To kill odor causing bacteria on soft-surface : Sprat pre-cleaned surface until damp. Odor-causing bacteria will be killed after 5 minutes. Allow the surface to dry completely before using it. •Fungus and mildew control : Spr<br><br>Ingredients<br>TRIETHYLENE GLYCOL (6%), DIMETHYL BENZYL AMMONIUM SACCHARINATE(0.2%) , ALCOHOL, WATER, FRAGRANCE, INERT INGREDIENTS Q.S. 100%  <br><br>Warnings<br>Caution: Keep out of reach of children and pets. Danger: Extremely flammable. Do not spray close to open flame. Avoid contact with eyes or skin. Do not ingest. Do not apply on people, food or animals. Do not use for disinfecting food. Pressurized containe","Product Details
FamilyGuard Disinfectant Aerosol is a versatile product that kills 99.9% of viruses and bacteria and combats odors of several different surfaces, through a fresh scent, so you can touch, feel and explore the world each day without worries. FamilyGuard Disinfectant Aerosol can be used across various surfaces such as shoes, clothes, sofas, trash cans, closets, car interiors, kitchen areas, and other closed environments.

Directions
""•Shake well before each use •To kill odor causing bacteria on soft-surface : Sprat pre-cleaned surface until damp. Odor-causing bacteria will be killed after 5 minutes. Allow the surface to dry completely before using it. •Fungus and mildew control : Spr

Ingredients
TRIETHYLENE GLYCOL (6%), DIMETHYL BENZYL AMMONIUM SACCHARINATE(0.2%) , ALCOHOL, WATER, FRAGRANCE, INERT INGREDIENTS Q.S. 100%  

Warnings
Caution: Keep out of reach of children and pets. Danger: Extremely flammable. Do not spray close to open flame. Avoid contact with eyes or skin. Do not ingest. Do not apply on people, food or animals. Do not use for disinfecting food. Pressurized containe",https://shopee.com.my/FamilyGuard-Disinfectant-Aerosol-Fresh-Floral-280ml-i.120723581.5741946878?sp_atk=61a5000b-58f3-4274-8983-4286071070ca&xptdk=61a5000b-58f3-4274-8983-4286071070ca,13.79,MYR,16,Groceries
Nescafé Gold Creamy Latte Premix Coffee 12 Sticks x 31g,"Nescafe Gold Creamy Latte 12 Sticks, 31g<br><br>An exceptional taste of delicate indulgence that could only be NESCAFÉ Gold Creamy Latte. Made for those who savour every moment, one creamy sip at a time.<br>Made from carefully selected coffee beans.<br>A delightful creamy indulgence<br><br>1 x Nescafé Gold Creamy Latte Premix Coffee 12 Sticks x 31g","Nescafe Gold Creamy Latte 12 Sticks, 31g

An exceptional taste of delicate indulgence that could only be NESCAFÉ Gold Creamy Latte. Made for those who savour every moment, one creamy sip at a time.
Made from carefully selected coffee beans.
A delightful creamy indulgence

1 x Nescafé Gold Creamy Latte Premix Coffee 12 Sticks x 31g",https://shopee.com.my/Nescaf%C3%A9-Gold-Creamy-Latte-Premix-Coffee-12-Sticks-x-31g-i.120723581.6044913896?sp_atk=2d380745-1409-4748-94e5-f7569f211bf3&xptdk=2d380745-1409-4748-94e5-f7569f211bf3,11.79,MYR,39,Groceries
